,first_name,second_name,team,element_type,selected_by_percent,now_cost,minutes,threat,value_season,now_cost,total_points,position,value
562,Andriy,Yarmolenko,West Ham,3,0.1,53,35,9.0,1.1,53,6,Midfielder,1.1
563,Michail,Antonio,West Ham,4,45.6,80,538,425.0,6.1,80,49,Forward,6.1
564,Craig,Dawson,West Ham,2,0.3,50,361,100.0,2.2,50,11,Defender,2.2
565,Ryan,Fredericks,West Ham,2,0.1,44,2,0.0,0.2,44,1,Defender,0.2
566,Manuel,Lanzini,West Ham,3,0.1,58,13,0.0,0.3,58,2,Midfielder,0.3
567,Arthur,Masuaku,West Ham,2,0.0,44,0,0.0,0.0,44,0,Defender,0.0
568,Vladimir,Coufal,West Ham,2,7.1,49,630,44.0,3.5,49,17,Defender,3.5
569,Saïd,Benrahma,West Ham,3,37.0,66,593,216.0,6.7,66,44,Midfielder,6.7
570,Jarrod,Bowen,West Ham,3,0.9,63,609,225.0,4.1,63,26,Midfielder,4.1
571,Declan,Rice,West Ham,3,4.7,50,630,39.0,4.0,50,20,Midfielder,4.0
572,Tomas,Soucek,West Ham,3,6.0,59,630,198.0,4.6,59,27,Midfielder,4.6
573,Pablo,Fornals,West Ham,3,2.8,60,613,146.0,4.7,60,28,Midfielder,4.7
574,Issa,Diop,West Ham,2,0.3,43,0,0.0,0.0,43,0,Defender,0.0
575,Ben,Johnson,West Ham,2,1.9,39,1,0.0,0.3,39,1,Defender,0.3
576,Alphonse,Areola,West Ham,1,0.8,48,0,0.0,0.0,48,0,Goalkeeper,0.0
577,Frederik,Alves,West Ham,2,0.2,40,0,0.0,0.0,40,0,Defender,0.0
578,Conor,Coventry,West Ham,3,0.1,45,0,0.0,0.0,45,0,Midfielder,0.0
579,Jamal,Baptiste,West Ham,2,0.3,40,0,0.0,0.0,40,0,Defender,0.0
580,Nikola,Vlasic,West Ham,3,0.1,59,106,10.0,0.7,59,4,Midfielder,0.7
581,Alex,Kral,West Ham,3,0.1,45,0,0.0,0.0,45,0,Midfielder,0.0
582,João Filipe Iria,Santos Moutinho,Wolves,3,0.7,50,586,16.0,3.4,50,17,Midfielder,3.4
583,Rui Pedro,dos Santos Patrício,Wolves,1,0.0,50,0,0.0,0.0,50,0,Goalkeeper,0.0
584,Willy,Boly,Wolves,2,0.1,49,0,0.0,0.0,49,0,Defender,0.0
585,Conor,Coady,Wolves,2,6.4,45,626,10.0,4.4,45,20,Defender,4.4
586,Raúl,Jiménez,Wolves,4,6.3,75,630,245.0,3.5,75,26,Forward,3.5
587,Romain,Saïss,Wolves,2,1.0,50,578,84.0,3.8,50,19,Defender,3.8
588,Fernando,Marçal,Wolves,2,8.0,46,611,44.0,6.1,46,28,Defender,6.1
589,Jonathan,Castro Otto,Wolves,2,0.0,45,0,0.0,0.0,45,0,Defender,0.0
590,Leander,Dendoncker,Wolves,3,0.1,48,136,22.0,1.2,48,6,Midfielder,1.2
591,Adama,Traoré,Wolves,3,3.1,60,456,208.0,2.2,60,13,Midfielder,2.2
592,Rúben Diogo,da Silva Neves,Wolves,3,1.1,54,542,43.0,2.2,54,12,Midfielder,2.2
593,Nélson,Cabral Semedo,Wolves,2,3.6,49,527,96.0,3.9,49,19,Defender,3.9
594,Daniel,Castelo Podence,Wolves,3,0.1,55,117,6.0,1.1,55,6,Midfielder,1.1
595,Max,Kilman,Wolves,2,0.4,45,630,55.0,4.4,45,20,Defender,4.4
596,Morgan,Gibbs-White,Wolves,3,0.2,45,7,24.0,0.2,45,1,Midfielder,0.2
597,Pedro,Lomba Neto,Wolves,3,0.0,64,0,0.0,0.0,64,0,Midfielder,0.0
598,Owen,Otasowie,Wolves,3,0.1,45,0,0.0,0.0,45,0,Midfielder,0.0
599,Ki-Jana,Hoever,Wolves,2,2.1,40,93,6.0,0.5,40,2,Defender,0.5
600,Andreas,Söndergaard,Wolves,1,1.0,40,0,0.0,0.0,40,0,Goalkeeper,0.0
601,Fabio,Silva,Wolves,4,0.4,57,18,19.0,0.7,57,4,Forward,0.7
602,Yerson,Mosquera Valdelamar,Wolves,2,0.0,45,0,0.0,0.0,45,0,Defender,0.0
603,John,Ruddy,Wolves,1,0.2,44,0,0.0,0.0,44,0,Goalkeeper,0.0
604,Francisco,Machado Mota de Castro Trincão,Wolves,3,0.7,59,474,178.0,2.4,59,14,Midfielder,2.4
605,Rayan,Ait Nouri,Wolves,2,0.2,43,6,8.0,0.2,43,1,Defender,0.2
606,José,Malheiro de Sá,Wolves,1,2.6,50,630,0.0,6.0,50,30,Goalkeeper,6.0
607,Patrick,Cutrone,Wolves,4,0.1,50,0,0.0,0.0,50,0,Forward,0.0
608,Luke,Cundle,Wolves,3,0.1,45,0,0.0,0.0,45,0,Midfielder,0.0
609,Chem,Campbell,Wolves,3,0.3,45,0,0.0,0.0,45,0,Midfielder,0.0
610,Christian,Marques,Wolves,2,0.3,40,0,0.0,0.0,40,0,Defender,0.0
611,Hee-Chan,Hwang,Wolves,4,3.9,56,249,127.0,4.3,56,24,Forward,4.3
612,Louie,Moulden,Wolves,1,0.1,40,0,0.0,0.0,40,0,Goalkeeper,0.0
